caseID,offence,offenceCategory,offenderID,intent,remandDuration,sentence,sentenceType,duration,totalDuration,fineAmount
CC0032,Threatening to kill,3,OARC1,Knowing,5,Prison,Single,9,4,0
CC0033,Aggravated assault,3,OADM1,Reckless,0,Prison,Single,11,11,0
CC0034,Burglary,3,OATT1,Reckless,2,Prison,Single,12,10,0
CC0035,Dangerous driving,3,OAFB1,Reckless,11,Prison,Single,13,2,0
CC0036,Drink driving,3,OAAM1,Reckless,12,Prison,Single,20,8,0
CC0037,Threatening to kill,3,OABF2,Reckless,13,Prison,Single,19,6,0
CC0038,Aggravated assault,3,OAMR1,Intentional,2,Prison,Single,24,22,0
CC0039,Burglary,3,OAPA1,Intentional,12,Prison,Single,28,16,0
CC0040,Dangerous driving,3,OAJP2,Intentional,30,Prison,Single,31,1,0
CC0041,Drink driving,3,OAHC1,Intentional,22,Prison,Single,35,13,0
CC0042,Threatening to kill,3,OARC2,Intentional,24,Prison,Single,38,14,0
CC0043,Aggravated burglary,4,OALA2,Negligent,504,Prison,Single,793,289,0
CC0044,Crime with firearm,4,OABF1,Negligent,45,Prison,Single,128,83,0
CC0045,Kidnapping,4,OAJN1,Negligent,993,Prison,Single,1016,23,0
CC0046,Manslaughter,4,OAQA1,Negligent,57,Prison,Single,196,139,0
CC0047,Murder,4,OAJB1,Negligent,318,Prison,Single,903,585,0
CC0048,Aggravated burglary,4,OANP1,Knowing,160,Prison,Single,187,27,0
CC0049,Crime with firearm,4,OASB1,Knowing,269,Prison,Single,1085,816,0
CC0050,Kidnapping,4,OACV1,Knowing,16,Prison,Single,83,67,0
CC0051,Manslaughter,4,OACJ1,Knowing,163,Prison,Single,193,30,0
CC0052,Murder,4,OAMM2,Knowing,49,Prison,Single,321,272,0
CC0053,Aggravated burglary,4,OAJG1,Reckless,706,Prison,Single,1151,445,0
CC0054,Crime with firearm,4,OALB1,Reckless,529,Prison,Single,531,2,0
CC0055,Kidnapping,4,OABD1,Reckless,174,Prison,Single,388,214,0
CC0056,Manslaughter,4,OALG1,Reckless,226,Prison,Single,266,40,0
CC0057,Murder,4,OALK1,Reckless,306,Prison,Single,459,153,0
CC0058,Aggravated burglary,4,OAAM2,Intentional,251,Prison,Single,312,61,0
CC0059,Crime with firearm,4,OAMM3,Intentional,15,Prison,Single,106,91,0
CC0060,Kidnapping,4,OAML2,Intentional,563,Prison,Single,925,362,0
CC0061,Manslaughter,4,OACU1,Intentional,246,Prison,Single,1198,952,0
CC0062,Murder,4,OACR1,Intentional,68,Prison,Single,1037,969,0
CC0063,Careless driving,1,OAJL1,Intentional,0,Community work,Concurrent,7,7,0
CC0064,Exceed speed limit,1,OAJL1,Intentional,0,Fined ,Concurrent,0,0,400
CC0065,Driving unsafe vehicle,1,OAOR1,Knowing,0,Fined ,Concurrent,0,0,870
CC0066,Careless driving,1,OAOR1,Knowing,0,Disqualified,Concurrent,3,3,0
CC0067,Exceed speed limit,1,OAEC1,Reckless,0,Fined ,Concurrent,0,0,870
CC0068,Driving unsafe vehicle,1,OAEC1,Reckless,0,Fined ,Concurrent,0,0,1490
CC0069,Careless driving,1,OAAM3,Negligent,0,Disqualified,Concurrent,4,4,0
CC0070,Exceed speed limit,1,OAAM3,Negligent,0,Fined ,Concurrent,0,0,200
CC0071,Driving unsafe vehicle,1,OANB1,Negligent,0,Fined ,Concurrent,0,0,1340
CC0072,Careless driving,1,OANB1,Knowing,0,Supervision,Concurrent,5,5,0
CC0073,Exceed speed limit,1,OASJ1,Negligent,0,Fined ,Concurrent,0,0,670
CC0074,Driving unsafe vehicle,1,OASJ1,Reckless,0,Fined ,Concurrent,0,0,1980
CC0075,Careless driving,1,OALH1,Negligent,0,Fined ,Concurrent,0,0,2380
CC0076,Exceed speed limit,1,OALH1,Intentional,0,Fined ,Concurrent,0,0,1000
CC0077,Driving unsafe vehicle,1,OAIP1,Knowing,0,Fined ,Concurrent,0,0,1670
CC0078,Careless driving,1,OAIP1,Negligent,0,Disqualified,Concurrent,2,2,0
CC0079,Exceed speed limit,1,OAMW1,Knowing,0,Fined ,Concurrent,0,0,320
CC0080,Driving unsafe vehicle,1,OAMW1,Reckless,0,Fined ,Concurrent,0,0,1345
CC0081,Careless driving,1,OALT1,Knowing,0,Supervision,Concurrent,3,3,0
CC0082,Exceed speed limit,1,OALT1,Intentional,0,Fined ,Concurrent,0,0,1000
CC0083,Driving unsafe vehicle,1,OAHP1,Reckless,0,Fined ,Concurrent,0,0,1900
CC0084,Careless driving,1,OAHP1,Negligent,0,Fined ,Concurrent,0,0,300
CC0085,Exceed speed limit,1,OAJW1,Reckless,0,Fined ,Concurrent,0,0,780
CC0086,Driving unsafe vehicle,1,OAJW1,Knowing,0,Fined ,Concurrent,0,0,1000
CC0087,Careless driving,1,OAAC1,Reckless,0,Supervision,Concurrent,9,9,0
CC0088,Exceed speed limit,1,OAAC1,Intentional,0,Fined ,Concurrent,0,0,1000
CC0089,Driving unsafe vehicle,1,OACG1,Intentional,0,Fined ,Concurrent,0,0,2000
CC0090,Exceed speed limit,1,OACB1,Intentional,0,Fined ,Concurrent,0,0,1000
CC0091,Driving unsafe vehicle,1,OACB1,Knowing,0,Fined ,Concurrent,0,0,590
CC0092,Careless driving,1,OAAR1,Intentional,0,Community work,Concurrent,12,12,0
CC0093,Exceed speed limit,1,OAAR1,Reckless,0,Fined ,Concurrent,0,0,670
CC0094,Assault,2,OAJP1,Knowing,0,Prison,Concurrent,3,4,0
CC0095,Assault,2,OAJP1,Reckless,0,Prison,Concurrent,4,4,0
CC0096,Assault,2,OAML1,Reckless,0,Prison,Cumulative,3,7,0
CC0097,Burglary,3,OAML1,Knowing,0,Prison,Cumulative,4,7,0
CC0098,Assault,2,OANC1,Knowing,0,Prison,Cumulative,12,47,0
CC0099,Drink driving,2,OANC1,Negligent,0,Prison,Cumulative,12,47,0
CC0100,Assault,2,OANC1,Reckless,0,Prison,Cumulative,24,47,0
CC0101,Drink driving,2,OAJP1,Negligent,3,Prison,Concurrent,12,9,0
CC0102,Assault,2,OAJP1,Knowing,3,Prison,Concurrent,12,9,0
CC0103,Assault,2,OAJP1,Knowing,3,Prison,Concurrent,12,9,0
CC0104,Robbery,4,OAFS1,Intentional,3,Prison,Cumulative,12,33,0
CC0105,Murder,4,OAFS1,Intentional,3,Prison,Cumulative,12,33,0
CC0106,Murder,4,OAFS1,Reckless,3,Prison,Cumulative,12,33,0
CC0107,Murder,4,OAAL1,Reckless,9,Prison,Single,84,75,0
CC0108,Driving unsafe vehicle,1,OACG1,Intentional,0,Fined ,Concurrent,0,0,2000
CC0109,Careless driving,1,OACG1,Negligent,0,Disqualified,Concurrent,3,3,0
CC0110,Exceed speed limit,1,OACB1,Intentional,0,Fined ,Concurrent,0,0,1000
CC0111,Driving unsafe vehicle,1,OACB1,Knowing,0,Fined ,Concurrent,0,0,590
CC0112,Careless driving,1,OAAR1,Intentional,0,Community work,Concurrent,12,12,0
CC0113,Exceed speed limit,1,OAAR1,Reckless,0,Fined ,Concurrent,0,0,670
CC0114,Careless driving,1,OARW1,Intentional,0,Community work,Single,12,12,0
CC0115,Assault,2,OAMY1,Reckless,0,Prison,Single,9,9,0
CC0116,Drink driving,2,OAAQ1,Knowing,0,Prison,Single,3,3,0
CC0117,Assault,2,OAMG1,Negligent,0,Prison,Single,4,4,0
CC0118,Drink driving,2,OARM1,Reckless,0,Prison,Single,11,11,0
CC0119,Assault,2,OAHF1,Knowing,0,Prison,Single,6,6,0
CC0120,Drink driving,2,OATF1,Negligent,0,Prison,Single,2,2,0
CC0121,Assault,2,OASH1,Intentional,0,Prison,Single,12,12,0
CC0122,Drink driving,2,OARL1,Intentional,0,Prison,Single,12,12,0
CC0123,Aggravated assault,3,OATD1,Negligent,0,Prison,Single,1,1,0
CC0124,Burglary,3,OAKG1,Negligent,0,Prison,Single,2,2,0
CC0125,Dangerous driving,3,OARD1,Negligent,0,Prison,Single,3,3,0
CC0126,Drink driving,3,OALA1,Negligent,0,Prison,Single,12,12,0
CC0127,Threatening to kill,3,OAFT1,Negligent,0,Prison,Single,4,4,0
CC0128,Aggravated assault,3,OADA1,Knowing,0,Prison,Single,5,5,0
CC0129,Burglary,3,OATG2,Knowing,0,Prison,Single,6,6,0
CC0130,Dangerous driving,3,OAKG2,Knowing,0,Prison,Single,7,7,0
CC0131,Drink driving,3,OAAT1,Knowing,0,Prison,Single,16,16,0
CC0132,Threatening to kill,3,OARC1,Knowing,0,Prison,Single,9,9,0
CC0133,Aggravated assault,3,OADM1,Reckless,0,Prison,Single,11,11,0
CC0134,Burglary,3,OATT1,Reckless,0,Prison,Single,12,12,0
CC0135,Dangerous driving,3,OAFB1,Reckless,0,Prison,Single,13,13,0
CC0136,Drink driving,3,OAAM1,Reckless,0,Prison,Single,20,20,0
CC0137,Threatening to kill,3,OABF2,Reckless,0,Prison,Single,19,19,0
CC0138,Aggravated assault,3,OAMR1,Intentional,0,Prison,Single,24,24,0
CC0139,Burglary,3,OAPA1,Intentional,0,Prison,Single,28,28,0
CC0140,Dangerous driving,3,OAJP2,Intentional,0,Prison,Single,31,31,0
CC0141,Drink driving,3,OAHC1,Intentional,0,Prison,Single,35,35,0
CC0142,Threatening to kill,3,OARC2,Intentional,0,Prison,Single,38,38,0
CC0143,Aggravated burglary,4,OALA2,Negligent,0,Prison,Single,793,793,0
CC0144,Crime with firearm,4,OABF1,Negligent,0,Prison,Single,128,128,0
CC0145,Kidnapping,4,OAJN1,Negligent,0,Prison,Single,1016,1016,0
CC0146,Manslaughter,4,OAQA1,Negligent,0,Prison,Single,196,196,0
CC0147,Murder,4,OAJB1,Negligent,0,Prison,Single,903,903,0
CC0148,Aggravated burglary,4,OANP1,Knowing,0,Prison,Single,187,187,0
CC0149,Crime with firearm,4,OASB1,Knowing,0,Prison,Single,1085,1085,0
CC0150,Kidnapping,4,OACV1,Knowing,0,Prison,Single,83,83,0
CC0151,Manslaughter,4,OACJ1,Knowing,0,Prison,Single,193,193,0
CC0152,Murder,4,OAMM2,Knowing,0,Prison,Single,321,321,0
CC0153,Aggravated burglary,4,OAJG1,Reckless,0,Prison,Single,1151,1151,0
CC0154,Crime with firearm,4,OALB1,Reckless,0,Prison,Single,531,531,0
CC0155,Kidnapping,4,OABD1,Reckless,0,Prison,Single,388,388,0
CC0156,Manslaughter,4,OALG1,Reckless,0,Prison,Single,266,266,0
CC0157,Murder,4,OALK1,Reckless,0,Prison,Single,459,459,0
CC0158,Aggravated burglary,4,OAAM2,Intentional,0,Prison,Single,312,312,0
CC0159,Crime with firearm,4,OAMM3,Intentional,0,Prison,Single,106,106,0
CC0160,Kidnapping,4,OAML2,Intentional,0,Prison,Single,925,925,0
CC0161,Manslaughter,4,OACU1,Intentional,0,Prison,Single,1198,1198,0
CC0162,Murder,4,OACR1,Intentional,0,Prison,Single,1037,1037,0
CC0163,Assault,2,OAJP1,Knowing,2,Prison,Concurrent,3,2,0
CC0164,Assault,2,OAJP1,Reckless,2,Prison,Concurrent,4,2,0
CC0165,Assault,2,OAML1,Reckless,1,Prison,Cumulative,3,3,0
CC0166,Burglary,3,OAML1,Knowing,1,Prison,Cumulative,4,3,0
CC0167,Assault,2,OANC1,Knowing,2,Prison,Cumulative,12,42,0
CC0168,Drink driving,2,OANC1,Negligent,2,Prison,Cumulative,12,42,0
CC0169,Assault,2,OANC1,Reckless,2,Prison,Cumulative,24,42,0
CC0170,Drink driving,2,OAJP1,Negligent,3,Prison,Concurrent,12,9,0
CC0171,Assault,2,OAJP1,Knowing,3,Prison,Concurrent,12,9,0
CC0172,Assault,2,OAJP1,Knowing,3,Prison,Concurrent,12,9,0
CC0173,Robbery,4,OAFS1,Intentional,4,Prison,Cumulative,12,24,0
CC0174,Murder,4,OAFS1,Intentional,4,Prison,Cumulative,12,24,0
CC0175,Murder,4,OAFS1,Reckless,4,Prison,Cumulative,12,24,0
CC0176,Murder,4,OAAL1,Reckless,12,Prison,Single,84,72,0
CC0177,Careless driving,1,OAJP1,Knowing,0,Community work,Single,2,2,0
CC0178,Murder,4,OAML1,Knowing,0,Prison,Single,12,12,0
CC0179,Assault,2,OANC1,Reckless,0,Supervision,Single,6,6,0
CC0180,Robbery,4,OAFS1,Intentional,0,Intensive supervision,Single,36,36,0
CC0181,Assault,2,OARW1,Intentional,0,Intensive supervision,Single,8,8,0
CC0182,Threatening to kill,3,OADV1,Knowing,0,Intensive supervision,Single,36,36,0
CC0183,Wounding with intent to injure,4,OAMV1,Reckless,0,Supervision,Single,12,12,0
CC0184,Drink driving,2,OADG1,Negligent,0,Prison,Single,6,6,0
CC0185,Aggravated assault,3,OARW2,Reckless,0,Intensive supervision,Single,24,24,0
CC0186,Drink driving,3,OAMM1,Reckless,0,Prison,Single,36,36,0
CC0187,Threatening to kill,3,OAMF1,Negligent,0,Intensive supervision,Single,24,24,0
CC0188,Manslaughter,4,OATG1,Intentional,0,Prison,Single,48,48,0
CC0189,Aggravated burglary,4,OAMY1,Reckless,0,Prison,Single,12,12,0
CC0190,Drink driving,2,OAAQ1,Negligent,0,Prison,Single,6,6,0
CC0191,Threatening to kill,3,OAMG1,Knowing,0,Prison,Single,24,24,0
CC0192,Manslaughter,4,OARM1,Intentional,0,Prison,Single,48,48,0
CC0193,Robbery,4,OAHF1,Reckless,0,Supervision,Single,12,12,0
CC0194,Kidnapping,4,OATF1,Reckless,0,Prison,Single,12,12,0
CC0195,Drink driving,2,OASH1,Negligent,0,Prison,Single,6,6,0
CC0196,Assault,2,OARL1,Intentional,0,Intensive supervision,Single,8,8,0
CC0197,Careless driving,1,OATD1,Negligent,0,Prison,Single,3,3,0
CC0198,Dangerous driving,3,OAKG1,Negligent,0,Prison,Single,24,24,0
CC0199,Robbery,4,OARD1,Knowing,0,Intensive supervision,Single,12,12,0
CC0200,Drink driving,2,OALA1,Reckless,0,Prison,Single,6,6,0
CC0201,Crime with firearm,4,OAFT1,Reckless,0,Prison,Single,36,36,0
CC0202,Dangerous driving,3,OADA1,Negligent,0,Prison,Single,36,36,0
CC0203,Assault,2,OATG2,Negligent,0,Supervision,Single,6,6,0
CC0204,Aggravated assault,3,OAKG2,Knowing,0,Intensive supervision,Single,24,24,0
CC0205,Threatening to kill,3,OAAT1,Negligent,0,Intensive supervision,Single,24,24,0
CC0206,Drink driving,2,OARC1,Reckless,0,Prison,Single,6,6,0
CC0207,Assault,2,OADM1,Intentional,0,Supervision,Single,8,8,0
CC0208,Crime with firearm,4,OATT1,Intentional,0,Prison,Single,48,48,0
CC0209,Aggravated assault,3,OAFB1,Knowing,0,Intensive supervision,Single,24,24,0
CC0210,Wounding with intent to injure,4,OAAM1,Negligent,0,Prison,Single,12,12,0
CC0211,Murder,4,OABF2,Intentinal,0,Prison,Single,48,48,0
CC0212,Drink driving,2,OAMR1,Reckless,0,Prison,Single,6,6,0
CC0213,Aggravated burglary,4,OAPA1,Reckless,0,Intensive supervision,Single,12,12,0
CC0214,Robbery,4,OAJP2,Intentional,0,Supervision,Single,24,24,0
CC0215,Drink driving,3,OAHC1,Reckless,0,Prison,Single,24,24,0
CC0216,Careless driving,1,OARC2,Reckless,0,Prison,Single,3,3,0
CC0217,Kidnapping,4,OALA2,Knowing,0,Prison,Single,24,24,0
CC0218,Murder,4,OABF1,Intentional,0,LIPWP,Single,1200,1200,0
CC0219,Drink driving,2,OAJN1,Negligent,0,Prison,Single,6,6,0
CC0220,Threatening to kill,3,OAQA1,Knowing,0,Prison,Single,24,24,0
CC0221,Assault,2,OAJB1,Reckless,0,Intensive supervision,Single,6,6,0
CC0222,Careless driving,1,OANP1,Negligent,0,Prison,Single,3,3,0
CC0223,Careless driving,1,OASB1,Negligent,0,Prison,Single,3,3,0
CC0224,Drink driving,2,OACV1,Negligent,0,Prison,Single,6,6,0
CC0225,Kidnapping,4,OACJ1,Knowing,0,Prison,Single,12,12,0
CC0226,Drink driving,3,OAMM2,Reckless,0,Prison,Single,24,24,0
CC0227,Aggravated assault,3,OAJG1,Reckless,0,Prison,Single,24,24,0
CC0228,Murder,4,OALB1,Intentional,0,LIPWP,Single,1200,1200,0
CC0229,Wounding with intent to injure,4,OABD1,Reckless,0,Prison,Single,12,12,0
CC0230,Assault,2,OALG1,Negligent,0,Supervision,Single,6,6,0
CC0231,Careless driving,1,OALK1,Negligent,0,Prison,Single,3,3,0
CC0232,Dangerous driving,3,OAAM2,Reckless,0,Prison,Single,24,24,0
CC0233,Drink driving,2,OAMM3,Knowing,0,Prison,Single,8,8,0
CC0234,Careless driving,1,OAML2,Reckless,0,Prison,Single,3,3,0
CC0235,Aggravated burglary,4,OACU1,Intentional,0,Community detention,Single,12,12,0
CC0236,Assault,2,OACR1,Negligent,0,Community detention,Single,6,6,0
CC0237,Murder,4,OAJL1,Intentional,0,Prison,Single,23,23,0
CC0238,Drink driving,2,OAOR1,Intentional,0,Prison,Single,19,19,0
CC0239,Aggravated assault,3,OAEC1,Knowing,0,Intensive supervision,Single,20,20,0
CC0240,Drink driving,3,OAAM3,Reckless,0,Prison,Single,72,72,0
CC0241,Threatening to kill,3,OANB1,Negligent,0,Intensive supervision,Single,24,24,0
CC0242,Drink driving,3,OASJ1,Knowing,0,Prison,Single,90,90,0
CC0243,Aggravated assault,3,OALH1,Reckless,0,Intensive supervision,Single,21,21,0
CC0244,Assault,2,OAIP1,Intentional,0,Intensive supervision,Single,15,15,0
CC0245,Murder,4,OAJL1,Intentional,0,Prison,Single,108,108,0
CC0246,Assault,2,OAMW1,Intentional,0,Intensive supervision,Single,18,18,0
CC0247,Careless driving,1,OALT1,Knowing,0,Prison,Single,2,2,0
CC0248,Dangerous driving,3,OAHP1,Reckless,0,Prison,Single,72,72,0
CC0249,Drink driving,2,OAJW1,Negligent,0,Prison,Single,18,18,0
CC0250,Careless driving,1,OAAC1,Negligent,0,Prison,Single,4,4,0
CC0251,Murder,4,OAJL1,Intentional,0,LIPWP,Single,1200,1200,0
CC0252,Careless driving,1,OACG1,Negligent,0,Prison,Single,3,3,0
CC0253,Assault,2,OACB1,Intentional,0,Supervision,Single,20,20,0
CC0254,Drink driving,2,OAAR1,Knowing,0,Prison,Single,20,20,0
CC0255,Aggravated assault,3,OAGC1,Reckless,0,Prison,Single,22,22,0
CC0256,Threatening to kill,3,OAEM1,Negligent,0,Intensive supervision,Single,60,60,0
CC0257,Dangerous driving,3,OAEF1,Intentional,0,Prison,Single,24,24,0
CC0258,Drink driving,3,OASH2,Knowing,0,Prison,Single,72,72,0
CC0259,Assault,2,OALR1,Reckless,0,Supervision,Single,23,23,0
CC0260,Careless driving,1,OAEP1,Negligent,0,Community work,Single,1,1,0
CC0261,Dangerous driving,3,OACB2,Intentional,0,Prison,Single,72,72,0
CC0262,Drink driving,2,OAGC2,Knowing,0,Prison,Single,21,21,0
CC0263,Careless driving,1,OASS1,Reckless,0,Community work,Single,4,4,0
CC0264,Drink driving,2,OAAB1,Negligent,0,Prison,Single,23,23,0
CC0265,Aggravated assault,3,OAOG1,Intentional,0,Prison,Single,23,23,0
CC0266,Drink driving,3,OAEF2,Knowing,0,Prison,Single,72,72,0
CC0267,Threatening to kill,3,OAHR1,Reckless,0,Prison,Single,96,96,0
CC0268,Assault,2,OAVS1,Negligent,0,Community detention,Single,24,24,0
CC0269,Careless driving,1,OADC1,Intentional,0,Prison,Single,3,3,0
CC0270,Dangerous driving,3,OALN1,Knowing,0,Prison,Single,75,75,0
CC0271,asdfera,1,NIL,Intentional,1,Invalid offence,Single,0,0,0
CC0272,dfvjnwernu,1,NIL,Reckless,2,Invalid offence,Single,0,0,0
CC0273,adfrew,1,NIL,Knowing,3,Invalid offence,Single,0,0,0
CC0274,ADSFJOI,1,NIL,Negligent,4,Invalid offence,Single,0,0,0
CC0275,awrtsdfgfvf,2,NIL,Intentional,5,Invalid offence,Single,0,0,0
CC0276,fghuirtuvnjdvn,2,NIL,Reckless,6,Invalid offence,Single,0,0,0
CC0277,sdclkwoenfiwern,2,NIL,Knowing,7,Invalid offence,Single,0,0,0
CC0278,sclkdjnce,2,NIL,Negligent,8,Invalid offence,Single,0,0,0
CC0279,sdlkjwoiuereun,3,NIL,Intentional,9,Invalid offence,Single,0,0,0
CC0280,sldjcnwuerk,3,NIL,Reckless,10,Invalid offence,Single,0,0,0
CC0281,pqokmlm,3,NIL,Knowing,11,Invalid offence,Single,0,0,0
CC0282,qowieuricn,3,NIL,Negligent,12,Invalid offence,Single,0,0,0
CC0283,csmlaser,4,NIL,Intentional,23,Invalid offence,Single,0,0,0
CC0284,mdcoiwen,4,NIL,Reckless,4,Invalid offence,Single,0,0,0
CC0285,dnlwinqefi,4,NIL,Knowing,5,Invalid offence,Single,0,0,0
CC0286,sldkmwier,4,NIL,Negligent,6,Invalid offence,Single,0,0,0
