caseID,offence,offenceCategory,offenderID,intent,remandDuration,sentence,sentenceType,duration,totalDuration,fineAmount
CC0055,Careless driving,1,OALK1,Negligent,0,Prison,Single,3,3,0
CC0056,Dangerous driving,3,OAAM2,Reckless,0,Prison,Single,24,24,0
CC0057,Drink driving,2,OAMM3,Knowing,0,Prison,Single,8,8,0
CC0058,Careless driving,1,OAML2,Reckless,0,Prison,Single,3,3,0
CC0059,Aggravated burglary,4,OACU1,Intentional,0,Community detention,Single,12,12,0
CC0060,Assault,2,OACR1,Negligent,0,Community detention,Single,6,6,0
CC0061,Murder,4,OAJL1,Intentional,0,Prison,Single,23,23,0
CC0062,Drink driving,2,OAOR1,Intentional,0,Prison,Single,19,19,0
CC0063,Aggravated assault,3,OAEC1,Knowing,0,Intensive supervision,Single,20,20,0
CC0064,Drink driving,3,OAAM3,Reckless,0,Prison,Single,72,72,0
CC0065,Threatening to kill,3,OANB1,Negligent,0,Intensive supervision,Single,24,24,0
CC0066,Drink driving,3,OASJ1,Knowing,0,Prison,Single,90,90,0
CC0067,Aggravated assault,3,OALH1,Reckless,0,Intensive supervision,Single,21,21,0
CC0068,Assault,2,OAIP1,Intentional,0,Intensive supervision,Single,15,15,0
CC0069,Murder,4,OAJL1,Intentional,0,Prison,Single,108,108,0
CC0070,Assault,2,OAMW1,Intentional,0,Intensive supervision,Single,18,18,0
CC0071,Careless driving,1,OALT1,Knowing,0,Prison,Single,2,2,0
CC0072,Dangerous driving,3,OAHP1,Reckless,0,Prison,Single,72,72,0
CC0073,Drink driving,2,OAJW1,Negligent,0,Prison,Single,18,18,0
CC0074,Careless driving,1,OAAC1,Negligent,0,Prison,Single,4,4,0
CC0075,Murder,4,OAJL1,Intentional,0,LIPWP,Single,1200,1200,0
CC0076,Careless driving,1,OACG1,Negligent,0,Prison,Single,3,3,0
CC0077,Assault,2,OACB1,Intentional,0,Supervision,Single,20,20,0
CC0078,Drink driving,2,OAAR1,Knowing,0,Prison,Single,20,20,0
CC0079,Aggravated assault,3,OAGC1,Reckless,0,Prison,Single,22,22,0
CC0080,Threatening to kill,3,OAEM1,Negligent,0,Intensive supervision,Single,60,60,0
CC0081,Dangerous driving,3,OAEF1,Intentional,0,Prison,Single,24,24,0
CC0082,Drink driving,3,OASH2,Knowing,0,Prison,Single,72,72,0
CC0083,Assault,2,OALR1,Reckless,0,Supervision,Single,23,23,0
CC0084,Careless driving,1,OAEP1,Negligent,0,Community work,Single,1,1,0
CC0085,Dangerous driving,3,OACB2,Intentional,0,Prison,Single,72,72,0
CC0086,Drink driving,2,OAGC2,Knowing,0,Prison,Single,21,21,0
CC0087,Careless driving,1,OASS1,Reckless,0,Community work,Single,4,4,0
CC0088,Drink driving,2,OAAB1,Negligent,0,Prison,Single,23,23,0
CC0089,Aggravated assault,3,OAOG1,Intentional,0,Prison,Single,23,23,0
CC0090,Drink driving,3,OAEF2,Knowing,0,Prison,Single,72,72,0
CC0091,Threatening to kill,3,OAHR1,Reckless,0,Prison,Single,96,96,0
CC0092,Assault,2,OAVS1,Negligent,0,Community detention,Single,24,24,0
CC0093,Careless driving,1,OADC1,Intentional,0,Prison,Single,3,3,0
CC0094,Dangerous driving,3,OALN1,Knowing,0,Prison,Single,75,75,0
CC0095,asdfera,1,NIL,Intentional,1,Invalid offence,Single,0,0,0
CC0096,dfvjnwernu,1,NIL,Reckless,2,Invalid offence,Single,0,0,0
CC0097,adfrew,1,NIL,Knowing,3,Invalid offence,Single,0,0,0
CC0098,ADSFJOI,1,NIL,Negligent,4,Invalid offence,Single,0,0,0
CC0099,awrtsdfgfvf,2,NIL,Intentional,5,Invalid offence,Single,0,0,0
CC0100,fghuirtuvnjdvn,2,NIL,Reckless,6,Invalid offence,Single,0,0,0
CC0101,sdclkwoenfiwern,2,NIL,Knowing,7,Invalid offence,Single,0,0,0
CC0102,sclkdjnce,2,NIL,Negligent,8,Invalid offence,Single,0,0,0
CC0103,sdlkjwoiuereun,3,NIL,Intentional,9,Invalid offence,Single,0,0,0
CC0104,sldjcnwuerk,3,NIL,Reckless,10,Invalid offence,Single,0,0,0
CC0105,pqokmlm,3,NIL,Knowing,11,Invalid offence,Single,0,0,0
CC0106,qowieuricn,3,NIL,Negligent,12,Invalid offence,Single,0,0,0
CC0107,csmlaser,4,NIL,Intentional,23,Invalid offence,Single,0,0,0
CC0108,mdcoiwen,4,NIL,Reckless,4,Invalid offence,Single,0,0,0
CC0109,dnlwinqefi,4,NIL,Knowing,5,Invalid offence,Single,0,0,0
CC0110,sldkmwier,4,NIL,Negligent,6,Invalid offence,Single,0,0,0
